yearweekofyear,total_cases
200026,0
200027,0
200028,0
200029,0
200030,0
200031,0
200032,0
200033,0
200034,0
200035,0
200036,1
200037,0
200038,0
200039,0
200040,0
200041,1
200042,1
200043,0
200044,0
200045,0
200046,0
200047,0
200048,0
200049,0
200050,1
200051,0
200101,0
200102,0
200103,0
200104,0
200105,0
200106,0
200107,0
200108,0
200109,0
200110,0
200111,0
200112,0
200113,0
200114,0
200115,0
200116,1
200117,0
200118,0
200119,0
200120,0
200121,1
200122,1
200123,0
200124,0
200125,1
200126,0
200127,0
200128,0
200129,0
200130,0
200131,0
200132,0
200133,0
200134,0
200135,0
200136,0
200137,0
200138,0
200139,0
200140,0
200141,0
200142,0
200143,0
200144,0
200145,0
200146,0
200147,1
200148,1
200149,1
200150,2
200151,4
200152,1
200201,4
200202,11
200203,16
200204,23
200205,12
200206,14
200207,18
200208,8
200209,7
200210,10
200211,7
200212,10
200213,5
200214,11
200215,8
200216,18
200217,13
200218,9
200219,22
200220,10
200221,5
200222,13
200223,2
200224,11
200225,11
200226,3
200227,7
200228,7
200229,4
200230,5
200231,6
200232,7
200233,7
200234,4
200235,9
200236,17
200237,8
200238,22
200239,18
200240,21
200241,16
200242,31
200243,25
200244,28
200245,26
200246,18
200247,27
200248,11
200249,38
200250,29
200251,21
200252,11
200301,10
200302,5
200303,6
200304,2
200305,1
200306,2
200307,2
200308,3
200309,5
200310,1
200311,4
200312,2
200313,4
200314,0
200315,0
200316,0
200317,0
200318,1
200319,1
200320,1
200321,1
200322,1
200323,2
200324,3
200325,4
200326,6
200327,2
200328,2
200329,5
200330,1
200331,1
200332,0
200333,0
200334,0
200335,0
200336,2
200337,0
200338,3
200339,0
200340,0
200341,0
200342,2
200343,2
200344,3
200345,3
200346,3
200347,1
200348,2
200349,3
200350,6
200351,5
200352,1
200401,4
200402,5
200403,8
200404,5
200405,2
200406,3
200407,3
200408,1
200409,6
200410,4
200411,1
200412,2
200413,3
200414,1
200415,8
200416,4
200417,6
200418,7
200419,5
200420,8
200421,6
200422,5
200423,6
200424,6
200425,13
200426,2
200427,10
200428,3
200429,12
200430,7
200431,6
200432,5
200433,6
200434,6
200435,6
200436,8
200437,6
200438,9
200439,12
200440,19
200441,8
200442,16
200443,21
200444,6
200445,22
200446,37
200447,33
200448,18
200449,83
200450,116
200451,32
200452,7
200553,9
200501,10
200502,5
200503,8
200504,7
200505,8
200506,11
200507,6
200508,7
200509,7
200510,14
200511,7
200512,9
200513,13
200514,16
200515,7
200516,9
200517,2
200518,13
200519,8
200520,3
200521,5
200522,4
200523,8
200524,2
200525,3
200526,5
200527,7
200528,3
200529,5
200530,6
200531,5
200532,5
200533,4
200534,0
200535,0
200536,0
200537,0
200538,0
200539,2
200540,4
200541,4
200542,3
200543,3
200544,5
200545,6
200546,14
200547,3
200548,7
200549,11
200550,2
200551,6
200652,8
200601,25
200602,21
200603,10
200604,28
200605,39
200606,20
200607,24
200608,28
200609,26
200610,8
200611,9
200612,12
200613,18
200614,9
200615,9
200616,6
200617,6
200618,8
200619,5
200620,7
200621,6
200622,5
200623,3
200624,1
200625,0
200626,1
200627,2
200628,3
200629,2
200630,2
200631,2
200632,2
200633,2
200634,4
200635,0
200636,6
200637,3
200638,2
200639,6
200640,2
200641,7
200642,4
200643,6
200644,6
200645,2
200646,13
200647,10
200648,5
200649,2
200650,0
200651,1
200701,0
200702,14
200703,6
200704,10
200705,5
200706,12
200707,9
200708,5
200709,11
200710,2
200711,6
200712,7
200713,6
200714,5
200715,9
200716,5
200717,8
200718,3
200719,4
200720,11
200721,5
200722,8
200723,4
200724,3
200725,1
200726,2
200727,3
200728,4
200729,1
200730,8
200731,5
200732,3
200733,2
200734,7
200735,1
200736,6
200737,7
200738,5
200739,2
200740,6
200741,11
200742,6
200743,3
200744,11
200745,11
200746,5
200747,4
200748,9
200749,23
200750,28
200751,26
200752,7
200801,29
200802,58
200803,26
200804,38
200805,35
200806,37
200807,20
200808,29
200809,25
200810,23
200811,9
200812,3
200813,6
200814,6
200815,3
200816,1
200817,3
200818,1
200819,1
200820,0
200821,2
200822,1
200823,1
200824,0
200825,0
200826,1
200827,0
200828,3
200829,3
200830,1
200831,5
200832,2
200833,5
200834,5
200835,5
200836,9
200837,17
200838,19
200839,25
200840,45
200841,34
200842,63
200843,44
200844,50
200845,35
200846,16
200847,16
200848,13
200849,9
200850,15
200851,4
200852,0
200901,1
200902,10
200903,11
200904,29
200905,35
200906,30
200907,20
200908,21
200909,12
200910,9
200911,11
200912,9
200913,5
200914,11
200915,3
200916,5
200917,5
200918,4
200919,4
200920,1
200921,0
200922,2
200923,3
200924,3
200925,5
200926,2
200927,1
200928,2
200929,0
200930,0
200931,3
200932,5
200933,5
200934,7
200935,5
200936,2
200937,2
200938,2
200939,0
200940,2
200941,1
200942,1
200943,2
200944,2
200945,3
200946,9
200947,5
200948,5
200949,4
200950,4
200951,1
200952,0
201053,0
201001,10
201002,9
201003,17
201004,16
201005,11
201006,12
201007,19
201008,15
201009,12
201010,12
201011,16
201012,9
201013,4
201014,9
201015,6
201016,8
201017,4
201018,2
201019,7
201020,6
201021,5
201022,8
201023,1
201024,1
201025,4
